Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Medication,Precaution_1,Precaution_2,Precaution_3,Precaution_4,All_Symptoms,Symptoms_with_Severity
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['itching', ' skin_rash', ' nodal_skin_eruptions', ' dischromic _patches']","[('itching', 1), (' skin_rash', 3), (' nodal_skin_eruptions', 4), (' dischromic _patches', None)]"
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"[' skin_rash', ' nodal_skin_eruptions', ' dischromic _patches', nan]","[(' skin_rash', 3), (' nodal_skin_eruptions', 4), (' dischromic _patches', None)]"
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['itching', ' nodal_skin_eruptions', ' dischromic _patches', nan]","[('itching', 1), (' nodal_skin_eruptions', 4), (' dischromic _patches', None)]"
Fungal infection,itching, skin_rash, dischromic _patches,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['itching', ' skin_rash', ' dischromic _patches', nan]","[('itching', 1), (' skin_rash', 3), (' dischromic _patches', None)]"
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['itching', ' skin_rash', ' nodal_skin_eruptions', nan]","[('itching', 1), (' skin_rash', 3), (' nodal_skin_eruptions', 4)]"
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"[' skin_rash', ' nodal_skin_eruptions', ' dischromic _patches', nan]","[(' skin_rash', 3), (' nodal_skin_eruptions', 4), (' dischromic _patches', None)]"
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['itching', ' nodal_skin_eruptions', ' dischromic _patches', nan]","[('itching', 1), (' nodal_skin_eruptions', 4), (' dischromic _patches', None)]"
Fungal infection,itching, skin_rash, dischromic _patches,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['itching', ' skin_rash', ' dischromic _patches', nan]","[('itching', 1), (' skin_rash', 3), (' dischromic _patches', None)]"
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['itching', ' skin_rash', ' nodal_skin_eruptions', nan]","[('itching', 1), (' skin_rash', 3), (' nodal_skin_eruptions', 4)]"
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['itching', ' skin_rash', ' nodal_skin_eruptions', ' dischromic _patches']","[('itching', 1), (' skin_rash', 3), (' nodal_skin_eruptions', 4), (' dischromic _patches', None)]"
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",apply calamine,cover area with bandage,,use ice to compress itching,"[' continuous_sneezing', ' shivering', ' chills', ' watering_from_eyes']","[(' continuous_sneezing', 4), (' shivering', 5), (' chills', 3), (' watering_from_eyes', 4)]"
